"","timestamp","id","version","session","session_type","keys_lr","level","level_type","global_trial_num","block_trial_num","trial_type","bias","ss","response_type","response_correct","response_time","ss_delay","score"
"735","190731-11-30-57.192",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",735,83,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.1383056640625,0.740000009536743,430
"736","190731-11-31-00.129",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",736,84,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2158203125,0.740000009536743,392
"737","190731-11-31-03.849",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",737,85,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.000732421875,0.759999990463257,940
"738","190731-11-31-06.734",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",738,86,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.1671142578125,0.759999990463257,416
"739","190731-11-31-09.926",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",739,87,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.472900390625,0.759999990463257,263
"740","190731-11-31-12.569",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",740,88,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.9217529296875,0.759999990463257,539
"741","190731-11-31-16.291",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",741,89,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.0025634765625,0.759999990463257,960
"742","190731-11-31-19.070",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",742,90,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.0596923828125,0.759999990463257,470
"743","190731-11-31-22.048",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",743,91,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2581787109375,0.759999990463257,370
"744","190731-11-31-25.031",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",744,92,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.2611083984375,0.759999990463257,369
"745","190731-11-31-28.756",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",745,93,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.0032958984375,0.759999990463257,960
"746","190731-11-31-32.478",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",746,94,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.002197265625,0.759999990463257,960
"747","190731-11-31-35.230",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",747,95,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.0340576171875,0.759999990463257,482
"748","190731-11-31-38.126",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",748,96,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.175048828125,0.759999990463257,412
"749","190731-11-31-41.080",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",749,97,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.233642578125,0.759999990463257,383
"750","190731-11-31-44.064",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",750,98,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.2633056640625,0.759999990463257,368
"751","190731-11-31-47.279",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",751,99,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.4931640625,0.759999990463257,253
"752","190731-11-31-51.004",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",752,100,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.0040283203125,0.759999990463257,960
"753","190731-11-31-53.805",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",753,101,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.08447265625,0.759999990463257,457
"754","190731-11-31-56.687",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",754,102,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.159912109375,0.759999990463257,420
"755","190731-11-31-59.697",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",755,103,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2886962890625,0.759999990463257,355
"756","190731-11-32-02.807",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",756,104,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.3917236328125,0.759999990463257,304
"757","190731-11-32-05.893",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",757,105,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.3656005859375,0.759999990463257,317
"758","190731-11-32-09.618",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",758,106,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.00390625,0.759999990463257,960
"759","190731-11-32-12.303",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",759,107,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.96484375,0.759999990463257,517
"760","190731-11-32-15.513",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",760,108,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.4898681640625,0.759999990463257,255
"761","190731-11-32-18.596",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",761,109,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.361328125,0.759999990463257,319
"762","190731-11-32-21.117",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",762,110,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.7957763671875,0.759999990463257,602
"763","190731-11-32-24.109",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",763,111,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.268798828125,0.759999990463257,365
"764","190731-11-32-27.207",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",764,112,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.3773193359375,0.759999990463257,311
"765","190731-11-32-30.935",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",765,113,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.0035400390625,0.759999990463257,960
